Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),win_size
ACC_5_Integrative_Magnitude,LR,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.4595 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,11.3560 ± 1.5226,2
ACC_5_Integrative_Magnitude,DT,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6856 ± 0.0742,0.6914 ± 0.0662,0.6851 ± 0.0676,0.6376 ± 0.0975,0.7452 ± 0.0851,0.6915 ± 0.0661,6.6787 ± 0.4080,2
Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),5
6_All_Combined,RF,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6991 ± 0.1669,0.7204 ± 0.1393,0.6543 ± 0.2012,0.5517 ± 0.2235,0.8891 ± 0.1057,0.7899 ± 0.1710,227.5722 ± 47.5844,5
6_All_Combined,XGB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.7148 ± 0.1293,0.7345 ± 0.1031,0.6768 ± 0.1427,0.5659 ± 0.1832,0.9030 ± 0.0853,0.8108 ± 0.1259,43.2231 ± 10.1909,5
6_All_Combined,GB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.7130 ± 0.1451,0.7319 ± 0.1199,0.6792 ± 0.1634,0.5781 ± 0.1981,0.8857 ± 0.1010,0.7989 ± 0.1486,1862.6862 ± 319.6003,5
6_All_Combined,LR,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.4592 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,41.1888 ± 4.6344,5
6_All_Combined,DT,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6628 ± 0.1402,0.6774 ± 0.1178,0.6342 ± 0.1563,0.5573 ± 0.1909,0.7974 ± 0.1116,0.6789 ± 0.1190,11.0225 ± 1.3475,5
ACC_1_TimeDomain_Stats_XYZ,RF,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6506 ± 0.1343,0.6761 ± 0.1046,0.5813 ± 0.2111,0.4952 ± 0.2311,0.8570 ± 0.0902,0.7427 ± 0.1501,136.9777 ± 25.4403,5
ACC_1_TimeDomain_Stats_XYZ,XGB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6697 ± 0.1335,0.6925 ± 0.1059,0.6157 ± 0.1951,0.5341 ± 0.2296,0.8508 ± 0.0827,0.7666 ± 0.1302,18.2505 ± 0.8420,5
ACC_1_TimeDomain_Stats_XYZ,GB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6689 ± 0.1341,0.6920 ± 0.1061,0.6143 ± 0.2007,0.5370 ± 0.2386,0.8471 ± 0.0897,0.7684 ± 0.1348,781.0676 ± 39.3509,5
ACC_1_TimeDomain_Stats_XYZ,LR,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.4712 ± 0.0715,0.5049 ± 0.0110,0.1162 ± 0.2598,0.1229 ± 0.2748,0.8870 ± 0.2527,0.5006 ± 0.0013,11.1755 ± 10.5946,5
ACC_1_TimeDomain_Stats_XYZ,DT,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6184 ± 0.0952,0.6335 ± 0.0798,0.5959 ± 0.1148,0.5386 ± 0.1552,0.7285 ± 0.0805,0.6335 ± 0.0798,7.9179 ± 8.5852,5
ACC_2_PSD_Frequency_XYZ,RF,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6800 ± 0.1822,0.6923 ± 0.1636,0.6613 ± 0.1958,0.5939 ± 0.2253,0.7907 ± 0.1555,0.7467 ± 0.1981,122.5158 ± 28.0857,5
ACC_2_PSD_Frequency_XYZ,XGB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.7101 ± 0.1271,0.7250 ± 0.1095,0.6849 ± 0.1247,0.5860 ± 0.1565,0.8640 ± 0.1151,0.7908 ± 0.1370,13.2898 ± 1.0155,5
ACC_2_PSD_Frequency_XYZ,GB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.7052 ± 0.1394,0.7209 ± 0.1216,0.6784 ± 0.1482,0.5884 ± 0.1848,0.8535 ± 0.1084,0.7856 ± 0.1566,598.7839 ± 27.6375,5
ACC_2_PSD_Frequency_XYZ,LR,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.4592 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,5.9547 ± 1.5709,5
ACC_2_PSD_Frequency_XYZ,DT,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6140 ± 0.1170,0.6242 ± 0.1095,0.6204 ± 0.1183,0.5980 ± 0.1654,0.6504 ± 0.1338,0.6288 ± 0.1165,4.0971 ± 0.4364,5
ACC_3_Magnitude_TimeDomain,RF,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6186 ± 0.0940,0.6290 ± 0.0857,0.5893 ± 0.1184,0.5241 ± 0.1453,0.7340 ± 0.1128,0.6810 ± 0.0907,64.2520 ± 12.0360,5
ACC_3_Magnitude_TimeDomain,XGB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6377 ± 0.0516,0.6437 ± 0.0549,0.6208 ± 0.0810,0.5625 ± 0.1103,0.7249 ± 0.1122,0.6924 ± 0.0630,11.4900 ± 8.6333,5
ACC_3_Magnitude_TimeDomain,GB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6352 ± 0.0657,0.6421 ± 0.0633,0.6237 ± 0.0871,0.5746 ± 0.1231,0.7095 ± 0.1173,0.6925 ± 0.0668,284.5815 ± 13.3931,5
ACC_3_Magnitude_TimeDomain,LR,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.4592 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.4998 ± 0.0004,0.8216 ± 0.1106,5
ACC_3_Magnitude_TimeDomain,DT,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.5769 ± 0.0281,0.5838 ± 0.0257,0.5635 ± 0.0500,0.5115 ± 0.0685,0.6562 ± 0.0638,0.5835 ± 0.0255,1.5450 ± 0.0866,5
ACC_4_Magnitude_PSD,RF,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.5864 ± 0.1136,0.5999 ± 0.0969,0.5688 ± 0.1366,0.5296 ± 0.1926,0.6701 ± 0.1229,0.6472 ± 0.1450,79.3118 ± 17.1943,5
ACC_4_Magnitude_PSD,XGB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6129 ± 0.0715,0.6257 ± 0.0565,0.5878 ± 0.0635,0.5179 ± 0.1116,0.7336 ± 0.1097,0.6792 ± 0.0949,6.8421 ± 0.6370,5
ACC_4_Magnitude_PSD,GB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.5882 ± 0.0970,0.6049 ± 0.0779,0.5512 ± 0.1032,0.4801 ± 0.1431,0.7297 ± 0.1030,0.6460 ± 0.1094,256.2244 ± 38.7566,5
ACC_4_Magnitude_PSD,LR,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.4592 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,5.0658 ± 8.8886,5
ACC_4_Magnitude_PSD,DT,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.5718 ± 0.0838,0.5797 ± 0.0736,0.5638 ± 0.0895,0.5237 ± 0.1333,0.6356 ± 0.1081,0.5787 ± 0.0721,1.4500 ± 0.0680,5
ACC_5_Integrative_Magnitude,RF,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6809 ± 0.0916,0.6947 ± 0.0739,0.6562 ± 0.0914,0.5702 ± 0.1379,0.8192 ± 0.1241,0.7603 ± 0.0933,74.4135 ± 4.8073,5
ACC_5_Integrative_Magnitude,XGB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6749 ± 0.0685,0.6885 ± 0.0495,0.6470 ± 0.0657,0.5586 ± 0.1168,0.8185 ± 0.1227,0.7581 ± 0.0783,11.3042 ± 0.7726,5
ACC_5_Integrative_Magnitude,GB,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6549 ± 0.0995,0.6725 ± 0.0780,0.6187 ± 0.1059,0.5293 ± 0.1502,0.8158 ± 0.1064,0.7340 ± 0.0957,523.2495 ± 62.7289,5
ACC_5_Integrative_Magnitude,LR,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.4592 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,2.9316 ± 0.4291,5
ACC_5_Integrative_Magnitude,DT,85858.4000 ± 3732.7926,21464.6000 ± 3732.7926,0.6253 ± 0.0416,0.6342 ± 0.0309,0.6091 ± 0.0347,0.5474 ± 0.0958,0.7210 ± 0.1104,0.6342 ± 0.0309,2.6408 ± 0.1509,5
Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),10
6_All_Combined,RF,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6871 ± 0.1512,0.7101 ± 0.1208,0.6303 ± 0.1881,0.5182 ± 0.2146,0.9021 ± 0.0971,0.8107 ± 0.1454,100.7271 ± 28.7504,10
6_All_Combined,XGB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.7108 ± 0.1038,0.7305 ± 0.0784,0.6732 ± 0.1141,0.5629 ± 0.1544,0.8980 ± 0.0693,0.8202 ± 0.1195,23.4619 ± 1.0176,10
6_All_Combined,GB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.7030 ± 0.1527,0.7239 ± 0.1266,0.6600 ± 0.1860,0.5627 ± 0.2244,0.8850 ± 0.0963,0.8143 ± 0.1562,769.6120 ± 117.6462,10
6_All_Combined,LR,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.4589 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,14.9974 ± 4.3106,10
6_All_Combined,DT,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6373 ± 0.0846,0.6546 ± 0.0740,0.6110 ± 0.0843,0.5386 ± 0.1428,0.7705 ± 0.1035,0.6553 ± 0.0740,4.9732 ± 0.5041,10
ACC_1_TimeDomain_Stats_XYZ,RF,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6523 ± 0.1233,0.6791 ± 0.0899,0.5697 ± 0.1941,0.4605 ± 0.2003,0.8976 ± 0.0650,0.7555 ± 0.1219,71.2936 ± 18.0443,10
ACC_1_TimeDomain_Stats_XYZ,XGB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6521 ± 0.1293,0.6772 ± 0.0972,0.5798 ± 0.2005,0.4832 ± 0.2131,0.8712 ± 0.0662,0.7707 ± 0.1143,11.4690 ± 0.5936,10
ACC_1_TimeDomain_Stats_XYZ,GB,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.6577 ± 0.1273,0.6828 ± 0.0955,0.5870 ± 0.1984,0.4897 ± 0.2125,0.8760 ± 0.0703,0.7810 ± 0.0955,357.6449 ± 17.3283,10
ACC_1_TimeDomain_Stats_XYZ,LR,42864.0000 ± 1868.2678,10716.0000 ± 1868.2678,0.4589 ± 0.0638,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.8884 ± 0.1891,10
