Feature Set,Model,WindowSize,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s)
HR_5_HR_Zones,DT,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5197 ± 0.0572,0.5237 ± 0.0520,0.4512 ± 0.0171,0.3888 ± 0.0537,0.6585 ± 0.1542,0.5302 ± 0.0565,0.0462 ± 0.0009
6_All_Combined,RF,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5277 ± 0.0568,0.5391 ± 0.0577,0.3613 ± 0.1157,0.2676 ± 0.1026,0.8105 ± 0.0944,0.6032 ± 0.1197,15.7831 ± 3.0644
6_All_Combined,XGB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5610 ± 0.1757,0.5667 ± 0.1749,0.4973 ± 0.2239,0.4340 ± 0.2055,0.6993 ± 0.1463,0.5931 ± 0.2298,4048.2729 ± 930.4112
6_All_Combined,GB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4898 ± 0.1414,0.4952 ± 0.1465,0.3788 ± 0.1812,0.3059 ± 0.1576,0.6844 ± 0.1704,0.5789 ± 0.2114,85.3244 ± 8.6556
6_All_Combined,LR,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4832 ± 0.0420,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.6685 ± 0.1252
6_All_Combined,DT,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4948 ± 0.0984,0.4994 ± 0.1042,0.3634 ± 0.1627,0.2858 ± 0.1361,0.7129 ± 0.0868,0.4994 ± 0.1042,0.4980 ± 0.0296
HR_1_TimeDomain_Stats,RF,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5134 ± 0.0253,0.5241 ± 0.0134,0.4028 ± 0.0471,0.3226 ± 0.0640,0.7256 ± 0.0610,0.5296 ± 0.0279,14.4674 ± 3.3805
HR_1_TimeDomain_Stats,XGB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4793 ± 0.0239,0.4859 ± 0.0124,0.3984 ± 0.0237,0.3357 ± 0.0385,0.6361 ± 0.0271,0.4733 ± 0.0167,2.4591 ± 0.2052
HR_1_TimeDomain_Stats,GB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4909 ± 0.0312,0.4979 ± 0.0343,0.4080 ± 0.0493,0.3417 ± 0.0513,0.6540 ± 0.0416,0.5005 ± 0.0566,43.5669 ± 8.3684
HR_1_TimeDomain_Stats,LR,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4774 ± 0.0361,0.4988 ± 0.0027,0.0893 ± 0.1997,0.0856 ± 0.1914,0.9120 ± 0.1968,0.4985 ± 0.0035,0.2298 ± 0.0953
HR_1_TimeDomain_Stats,DT,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5110 ± 0.0356,0.5139 ± 0.0395,0.4696 ± 0.0622,0.4210 ± 0.0541,0.6069 ± 0.0309,0.5175 ± 0.0404,0.3563 ± 0.0211
HR_2_HRV_Proxies,RF,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4841 ± 0.0743,0.4915 ± 0.0830,0.3389 ± 0.1134,0.2621 ± 0.1013,0.7208 ± 0.1672,0.4954 ± 0.1397,6.2227 ± 2.0058
HR_2_HRV_Proxies,XGB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5714 ± 0.1634,0.5733 ± 0.1583,0.5236 ± 0.1529,0.4483 ± 0.1377,0.6982 ± 0.2143,0.5861 ± 0.2124,4.8261 ± 8.8390
HR_2_HRV_Proxies,GB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4819 ± 0.0962,0.4915 ± 0.1035,0.3472 ± 0.1483,0.2757 ± 0.1379,0.7073 ± 0.1614,0.5165 ± 0.1491,15.5105 ± 3.4547
HR_2_HRV_Proxies,LR,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4858 ± 0.0153,0.4952 ± 0.0110,0.3580 ± 0.2021,0.3230 ± 0.1813,0.6675 ± 0.1861,0.4949 ± 0.0116,0.0982 ± 0.0056
HR_2_HRV_Proxies,DT,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4827 ± 0.1058,0.4928 ± 0.1122,0.3453 ± 0.1511,0.2720 ± 0.1383,0.7136 ± 0.1766,0.4925 ± 0.1127,0.0847 ± 0.0049
HR_3_Temporal_Dynamics,RF,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5192 ± 0.0453,0.5260 ± 0.0376,0.4443 ± 0.0408,0.3733 ± 0.0464,0.6788 ± 0.0454,0.5351 ± 0.0559,10.3262 ± 2.1404
HR_3_Temporal_Dynamics,XGB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5061 ± 0.0328,0.5110 ± 0.0275,0.4525 ± 0.0292,0.3964 ± 0.0356,0.6257 ± 0.0296,0.5109 ± 0.0415,1.8003 ± 0.1255
HR_3_Temporal_Dynamics,GB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5016 ± 0.0424,0.5087 ± 0.0295,0.4429 ± 0.0636,0.3903 ± 0.0850,0.6272 ± 0.0365,0.5023 ± 0.0362,30.3797 ± 6.0815
HR_3_Temporal_Dynamics,LR,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4739 ± 0.0356,0.5000 ± 0.0000,0.1291 ± 0.2888,0.2000 ± 0.4472,0.8000 ± 0.4472,0.5000 ± 0.0000,4.0704 ± 8.9553
HR_3_Temporal_Dynamics,DT,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.5171 ± 0.0311,0.5205 ± 0.0267,0.4849 ± 0.0234,0.4414 ± 0.0385,0.5997 ± 0.0387,0.5210 ± 0.0304,0.2084 ± 0.0137
HR_4_Contextual_Baseline,RF,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4887 ± 0.0258,0.4957 ± 0.0272,0.4276 ± 0.0444,0.3735 ± 0.0656,0.6179 ± 0.0619,0.5023 ± 0.0279,6.2319 ± 2.0950
HR_4_Contextual_Baseline,XGB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4914 ± 0.0188,0.4972 ± 0.0241,0.4473 ± 0.0363,0.4011 ± 0.0500,0.5932 ± 0.0569,0.4968 ± 0.0290,1.3858 ± 0.1073
HR_4_Contextual_Baseline,GB,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4985 ± 0.0157,0.5052 ± 0.0181,0.4587 ± 0.0270,0.4149 ± 0.0577,0.5955 ± 0.0732,0.5014 ± 0.0273,23.0503 ± 0.8364
HR_4_Contextual_Baseline,LR,30Seconds,17601.6000 ± 724.5024,4400.4000 ± 724.5024,0.4813 ± 0.0398,0.5035 ± 0.0077,0.1008 ± 0.2253,0.1035 ± 0.2314,0.9034 ± 0.2160,0.4990 ± 0.0023,0.0549 ± 0.0067
