,HR_BPM
0 days 00:01:16.616000,767.0454545452449
0 days 00:01:17.616000,3776.2237762191935
0 days 00:01:18.616000,2631.3405797070936
0 days 00:01:19.616000,199.37782805430007
0 days 00:01:20.616000,2002.6714545562177
0 days 00:01:21.616000,183.53174603174915
0 days 00:01:22.616000,2573.621553886097
0 days 00:01:23.616000,2634.2592592562014
0 days 00:01:24.616000,1920.8291813880933
0 days 00:01:25.616000,181.99233716474583
0 days 00:01:26.616000,3811.4754098381436
0 days 00:01:27.616000,158.0380214101136
0 days 00:01:28.616000,224.8677248677186
0 days 00:01:29.616000,2570.4022988475203
0 days 00:01:30.616000,231.11932010236873
0 days 00:01:31.616000,187.01573849878784
0 days 00:01:32.616000,229.82804232804207
0 days 00:01:33.616000,2013.2575757552863
0 days 00:01:34.616000,178.57142857142654
0 days 00:01:35.616000,180.19480519480837
0 days 00:01:36.616000,227.10622710623167
0 days 00:01:37.616000,3110.4522328962803
0 days 00:01:38.616000,1368.697478991178
0 days 00:01:39.616000,117.1874999999999
0 days 00:01:40.616000,198.1525419025454
0 days 00:01:41.616000,3813.5593220359756
0 days 00:01:42.616000,201.68350168349832
0 days 00:01:43.616000,355.2737520128779
0 days 00:01:44.616000,3806.042884992331
0 days 00:01:45.616000,184.0696117804589
0 days 00:01:46.616000,2009.1188423045392
0 days 00:01:47.616000,189.9624765478431
0 days 00:01:48.616000,2002.880470823321
0 days 00:01:49.616000,207.07070707070216
0 days 00:01:50.616000,207.0932539682536
0 days 00:01:51.616000,3809.4158200277748
0 days 00:01:52.616000,228.79948914431455
0 days 00:01:53.616000,1083.935050797945
0 days 00:01:54.616000,239.47750362844275
0 days 00:01:55.616000,215.1991614255741
0 days 00:01:56.616000,208.33333333333684
0 days 00:01:57.616000,2020.1126834386416
0 days 00:01:58.616000,2015.42047853728
0 days 00:01:59.616000,2641.3690476159964
0 days 00:02:00.616000,1995.4672137901725
0 days 00:02:01.616000,201.102941176469
0 days 00:02:02.616000,235.04273504273814
0 days 00:02:03.616000,2575.9423503295397
0 days 00:02:04.616000,226.16879174256133
0 days 00:02:05.616000,2014.7323436807515
0 days 00:02:06.616000,190.5270655270659
0 days 00:02:07.616000,314.4628563260742
0 days 00:02:08.616000,2145.9941944882326
0 days 00:02:09.616000,185.3123728123811
0 days 00:02:10.616000,234.20098420098165
0 days 00:02:11.616000,2575.575027379202
0 days 00:02:12.616000,2629.3103448245315
0 days 00:02:13.616000,169.37777635742052
0 days 00:02:14.616000,226.85185185184574
0 days 00:02:15.616000,3803.328066359233
0 days 00:02:16.616000,185.76388888888462
0 days 00:02:17.616000,184.71183988425477
0 days 00:02:18.616000,239.25729442970055
0 days 00:02:19.616000,2014.101030546109
0 days 00:02:20.616000,2636.476426804834
0 days 00:02:21.616000,168.1676199748449
0 days 00:02:22.616000,229.29920956237342
0 days 00:02:23.616000,1326.704545455236
0 days 00:02:24.616000,237.76223776222636
0 days 00:02:25.616000,183.1169435525172
0 days 00:02:26.616000,229.53055402632526
0 days 00:02:27.616000,179.60833109138912
0 days 00:02:28.616000,236.16734143048873
0 days 00:02:29.616000,181.09509885825642
0 days 00:02:30.616000,189.9624765478431
0 days 00:02:31.616000,2021.329365077071
0 days 00:02:32.616000,186.35724331928128
0 days 00:02:33.616000,2016.5836521945685
0 days 00:02:34.616000,2008.4563994417847
0 days 00:02:35.616000,185.18518518518022
0 days 00:02:36.616000,2572.860686239807
0 days 00:02:37.616000,243.85964912280528
0 days 00:02:38.616000,2574.3534482728064
0 days 00:02:39.616000,238.60398860399138
0 days 00:02:40.616000,2016.9642857119973
0 days 00:02:41.616000,245.77505827505533
0 days 00:02:42.616000,2577.546296293243
0 days 00:02:43.616000,1134.6804511283387
0 days 00:02:44.616000,1237.3679417128212
0 days 00:02:45.616000,2637.2354497324027
0 days 00:02:46.616000,202.05585553686927
0 days 00:02:47.616000,216.34615384615552
0 days 00:02:48.616000,2008.1730769207866
0 days 00:02:49.616000,2022.8806907355424
0 days 00:02:50.616000,416.8560606060593
0 days 00:02:51.616000,3809.4158200244465
0 days 00:02:52.616000,198.07692307693196
0 days 00:02:53.616000,1542.018398266878
0 days 00:02:54.616000,647.1698113208449
0 days 00:02:55.616000,177.53759398495572
0 days 00:02:56.616000,187.09299959300085
0 days 00:02:57.616000,1395.4545454530237
0 days 00:02:58.616000,3796.3033536672756
0 days 00:02:59.616000,1921.875000001038
0 days 00:03:00.616000,169.7450993077576
0 days 00:03:01.616000,650.5876068374538
0 days 00:03:02.616000,186.23253047874525
0 days 00:03:03.616000,382.05438629166207
0 days 00:03:04.616000,183.90015157256832
0 days 00:03:05.616000,233.9743589743589
0 days 00:03:06.616000,1075.4251136799437
0 days 00:03:07.616000,244.3916930423658
0 days 00:03:08.616000,113.36254107338566
0 days 00:03:09.616000,2643.8596491197445
0 days 00:03:10.616000,3795.7385095893487
0 days 00:03:11.616000,655.3571428574043
0 days 00:03:12.616000,2558.814858488252
0 days 00:03:13.616000,92.59259259259315
0 days 00:03:14.616000,163.30128205128725
0 days 00:03:15.616000,218.18181818180574
0 days 00:03:16.616000,207.01396613521314
0 days 00:03:17.616000,3815.7894736796293
0 days 00:03:18.616000,537.2050206957952
0 days 00:03:19.616000,214.65517241378052
0 days 00:03:20.616000,1673.5885167445772
0 days 00:03:21.616000,208.88594164456362
0 days 00:03:22.616000,1999.0899591176371
0 days 00:03:23.616000,1940.7894736852513
0 days 00:03:24.616000,909.7284878867986
0 days 00:03:25.616000,212.41258741258886
0 days 00:03:26.616000,2016.9642857119889
0 days 00:03:27.616000,2563.2911392463325
0 days 00:03:28.616000,234.20098420098165
0 days 00:03:29.616000,2577.5462963021205
0 days 00:03:30.616000,2639.2572944355356
0 days 00:03:31.616000,1141.9536914968874
0 days 00:03:32.616000,2642.372881352882
0 days 00:03:33.616000,3794.3926870225964
0 days 00:03:34.616000,3795.7317073258127
0 days 00:03:35.616000,195.17034456058934
0 days 00:03:36.616000,237.23544973546336
0 days 00:03:37.616000,2580.128205134029
0 days 00:03:38.616000,2065.824800197515
0 days 00:03:39.616000,187.23544973544833
0 days 00:03:40.616000,243.6130007558464
0 days 00:03:41.616000,2022.8223981944102
0 days 00:03:42.616000,3113.256120203727
0 days 00:03:43.616000,2632.8947368390554
0 days 00:03:44.616000,2002.3148148191808
0 days 00:03:45.616000,3818.1818181772355
0 days 00:03:46.616000,205.87606837606367
0 days 00:03:47.616000,192.66917293233988
0 days 00:03:48.616000,2641.6122004326726
0 days 00:03:49.616000,3797.7726387490693
0 days 00:03:50.616000,3798.0769230723404
0 days 00:03:51.616000,208.6847996774429
0 days 00:03:52.616000,3819.4444444531814
0 days 00:03:53.616000,1997.1153846197544
0 days 00:03:54.616000,196.19386216024782
0 days 00:03:55.616000,2654.1666666724886
0 days 00:03:56.616000,1068.0751173714084
0 days 00:03:57.616000,1680.7729468580703
